"ID","A_WT","B_WT","C_WT","D_WT","A_KO1","B_KO1","C_KO1","D_KO1","padj","log2FoldChange","pvalue","foldChange","log10padj"
"CACNA1H",5565.87694321773,5595.04453941275,5296.14943850641,4887.09074967237,5863.90091553048,5720.98827236988,4887.77463870114,4625.18988209483,0.976140206733248,-0.0167555133969931,0.865484892299507,0.988453145717705,0.0104877984835518
"SLC33A1",321.394806281406,327.239221489753,348.043200235644,342.038379870308,369.196257302259,310.586701353851,349.846339138811,366.916782184693,0.902719357507979,0.0587418297693467,0.565517497934492,1.0415570257344,0.0444472446248239
"TMEM8A",1725.10258603364,1755.57979737337,1893.98111874264,1745.94167351878,1594.30696096291,1751.85912818018,1697.94532137004,1742.85471537729,0.752168183178952,-0.0691792497110785,0.267988602634713,0.953180108703233,0.123685041243396
"METTL13",1096.14784923791,1133.07912848081,1215.38895320384,1229.0192632628,1194.06717451812,1265.80501548745,1334.3615605373,1399.37983872107,0.423699456926846,0.15200912549903,0.0564998119125397,1.11111575678883,0.372942092651891
"FUT4",188.367154674864,159.888870434733,204.406323947918,190.343392187714,253.891720487139,164.207470504302,179.50231013405,199.765803633888,0.909150088457953,0.0979272202606172,0.585001300914981,1.07023470685837,0.0413644146785763
"ZBED5",2467.92899260457,2434.57453381953,2128.77216652066,2424.22117258363,2526.72153270826,2531.61003097489,2227.2939706429,2221.88495878509,0.986363615827005,0.00802948312477183,0.923099439722357,1.00558113039008,0.00596295601592578
"RASD1",1017.39547948684,985.981367680853,750.410603682672,724.657584470992,1149.71927574307,970.231568579704,750.979052601637,554.452026412425,0.986429971756788,-0.0221512782527352,0.923279061769772,0.984763177091368,0.00593374057814394
"TTLL2",20.2202030441944,7.46148062028754,11.9697396906438,20.2904123651878,11.0869746937615,7.5066272230538,11.9057654680747,17.3266258253883,0.894463856376899,-0.329002529143964,0.535961076900436,0.796086703182629,0.0484372037754314
"PRR22",25.5413091084561,23.4503676637608,8.28674286275343,19.3242022525598,18.8478569793946,19.7048964605162,9.15828112928825,24.4611188123129,0.977271491538504,-0.0835830663378125,0.869121315448248,0.94371094054761,0.00998477006025949
"IFT122",888.624712731702,988.113219286649,962.18292128637,964.277692402734,904.697135010942,976.799867399876,990.01019007606,984.560032195593,0.955809465150335,0.0204167659118785,0.768258918796196,1.01425243483536,0.0196286730805445
"LRRC73",104.293678859529,93.8014706550433,66.2939429020274,103.384482051195,116.413234284496,102.277795914108,76.0137333730925,73.3833564369386,0.995629162670729,0.000960688460343012,0.987130517464279,1.00066612025731,0.00190239108967246
"CLEC18A",24.4770878956038,58.6259191594021,139.033130252863,73.4319685597272,32.1522266119085,45.9780917412045,73.266249034306,86.6331291269414,0.897448300260479,-0.313620827433037,0.552041855663819,0.804619815262051,0.0469905606419056
"BSN-AS2",29.7981939598655,29.8459224811501,25.7809777952329,28.9863033788397,22.1739493875231,29.0881804893335,17.4007341456477,24.4611188123129,0.810696587605611,-0.295617056171369,0.357327207780642,0.814723791750357,0.0911416550167341
"EXOSC1",398.018733606774,422.106617947695,445.64261617474,457.017383273039,464.544239668609,462.595902620691,519.274540030644,539.16382715473,0.365175174164538,0.204241919458143,0.0399794082941389,1.15208081373464,0.437498754932455
"KCNIP2",1207.8910765874,1478.43908861983,1734.69150593638,987.466735105805,820.436127338354,1151.32895033588,1086.17214193359,1047.75125579407,0.339539723200792,-0.397363420630546,0.0347331102963059,0.759244564084474,0.469109409725964
"NUMB",1069.5423189166,1230.07837654455,1291.81113738256,1069.59459467918,1098.71919215177,1139.13068109841,1118.2261258861,1156.80707716563,0.910764146194918,-0.0468220530985155,0.591237031378047,0.968066424127609,0.0405940744734409
"XIRP1",126.642324329428,73.5488803999771,55.2449524183562,83.0940696860071,348.131005384112,188.604008979227,74.1820771472348,73.3833564369386,0.408466903363203,1.01500251159408,0.0514433535960766,2.02090641117524,0.38884312706067
"APOL2",35.1193000241272,50.0985127362163,141.795377873781,59.9050269829354,57.65226840756,39.4097929210325,65.0237960179466,66.248863450014,0.86374491958137,-0.333034806007556,0.463593364610308,0.793864778168249,0.0636144940655199
"FOCAD",1961.35969528686,2311.99306648624,2511.80383662126,2171.07412307509,2139.78611589598,2166.6002822539,2534.09638847406,2418.59312256744,0.923767517421854,0.0479208421011541,0.638226342222911,1.03377401350235,0.0344373129841106
"RPL24",7413.36496872939,7206.72435339486,7939.62041172476,8217.61700790105,7865.09984775444,7464.40244492412,8450.34599799427,8976.21139083498,0.74944636198041,0.0898061602807988,0.26434291719769,1.06422718386271,0.125259444242668
"TTLL6",238.385551678924,338.964405321634,414.337143137671,215.464855116042,162.978527998295,249.595355166539,200.566356731413,216.07321617543,0.304462156497553,-0.541372785694268,0.0281938572235189,0.687116777063161,0.51646668084938
"KLHL28",1478.2032646519,1567.97685606328,1284.44514372678,1336.26858576451,1374.78486202643,1148.51396512723,1015.65337723807,1040.61676280714,0.202428640508233,-0.307638245662571,0.0127650791842455,0.807963348212188,0.693728041561874
"TJP1",3136.25991427584,3499.43441091485,4229.00110762517,3658.07148640957,3741.85395914452,3413.63872968372,3754.89526300818,4183.87053018935,0.917263420568596,0.0554119694941237,0.613593943720714,1.03915579758073,0.0375059253215413
"WDFY3",5745.73032818977,4738.04019388259,3360.73460545,6345.10180962801,6180.98839177206,4957.18895242415,4642.33270443621,6514.811310346,0.866748470144505,0.143109843677079,0.473393531999514,1.10428292167339,0.0621069162229197
"GRIA2",589.578551920195,514.84216279984,530.35154321622,500.496838341299,629.740162605656,648.384926391272,472.567306271274,634.969875836288,0.706613101062927,0.159529706241384,0.219294285740797,1.11692298104826,0.150818314726548
"RSPRY1",1268.55168571999,1081.91468994169,976.914908597932,1146.89140368942,1383.65444178144,1266.74334389033,1156.69090662911,1179.22976941025,0.614868417772173,0.156358596890192,0.144687630684571,1.11447062968649,0.211217813573535
"TRIM66",481.027988209257,589.456969002715,573.626755943932,579.726067576794,378.065837057269,369.7013907354,414.870135156758,417.877446377012,0.000284745408826153,-0.492889870668057,3.22235169067361e-06,0.710600263785492,3.54554326966341
"CCDC69",18.0917606184897,21.3185160579644,74.5806857647809,28.9863033788397,39.9131088975416,34.7181509066238,40.2964369688683,66.248863450014,0.883406874017914,0.335518064237124,0.512067236634478,1.26183044419229,0.0538392257065231
"SDK1",2641.3970502995,2914.24114512373,2338.70298571041,2580.74721082936,2370.39518952622,2117.80720530405,1871.03683471359,2248.38450416509,0.132731315679072,-0.283435808024724,0.00596949488046956,0.821631951959845,0.877026600706615
"ACER2",476.771103357847,462.611798457827,344.360203407754,418.368978767919,553.240037218701,432.569393728475,340.688058009523,333.282743817763,0.973461178860553,-0.0367097564671099,0.85235306134317,0.974875738114461,0.0116813632428902
"C1orf159",348.000336602715,341.09625692743,292.798247817288,333.342488856656,303.783106609066,323.723298994195,307.718245944085,324.109824263146,0.897912496300431,-0.060753786844032,0.554808193362042,0.958763048907732,0.046765984296526
"MYO19",607.670312538685,852.740642318576,1123.31403250658,653.158036136521,626.414070197527,703.746302161294,720.756724874985,650.258075093984,0.66626059406941,-0.261219354596725,0.18362665881556,0.83438240782032,0.176355872285362
"NOXO1",54.2752818554692,53.296290144911,30.3847238300959,42.5132449556315,60.9783608156885,48.7930769498497,42.128093194726,34.6532516507766,0.977271491538504,0.0496102600460303,0.872413925511634,1.0349852877456,0.00998477006025949
"DDX46",2107.15800144763,2061.50050280516,2098.38744269056,2352.72162424915,2293.89506413926,2220.08500121816,2451.67185831047,2643.83925829748,0.424678390499866,0.156675283646064,0.0568471461675325,1.11471529457954,0.371939837256161
"FPGT-TNNI3K",25.5413091084561,39.4392547072341,47.8789587625754,28.0200932662117,8.86957975500924,11.2599408345807,0,8.15370627077096,0.0283344871363902,-2.32555875926387,0.000709095093234803,0.199497315833732,1.54768464382543
"ARRDC2",41.5046273012412,57.5599933565039,90.2334222833151,54.1077663071674,37.6957139587893,34.7181509066238,65.0237960179466,50.9606641923185,0.765665765776882,-0.370320762844558,0.286530508700906,0.773610476297159,0.115960770519446
"SGOL1",345.87189417701,438.095504991168,469.582095556028,397.112356290104,573.196591667472,453.212618591873,460.661540803199,406.666100254702,0.674388952704053,0.196673802619086,0.191383736918166,1.14605303063832,0.171089552587001
"LOC100288866",22.3486454698991,15.9888870434733,11.9697396906438,15.4593618020478,23.2826468568992,14.0749260432259,12.8215935810036,4.07685313538548,0.91875212971,-0.279817690150787,0.61978431581724,0.823695099029332,0.0368016411918533
"MCOLN3",19.1559818313421,24.516293466659,41.4337143137671,28.9863033788397,45.4565962444223,35.6564793095056,32.0539839525089,31.5956117992375,0.79538398935205,0.33319054995949,0.334787531472614,1.25979636181365,0.0994231553742265
"POU2F3",3.19266363855701,7.46148062028754,23.9394793812877,7.72968090102392,1.10869746937615,16.8899112518711,47.6230618722989,29.5571852315447,0.706409047451482,1.1661972875002,0.219085475399464,2.24419383195672,0.150943747095987
"C1orf27",839.670536940495,854.872493924372,836.040279931124,943.021069924918,942.392848969731,893.288639543402,852.635973136736,999.848231453289,0.782066094132649,0.0855760898842302,0.31021685342794,1.06111137455339,0.106756542203414
"DNAJC15",749.211733848046,764.268800678023,668.46392426211,764.27219908874,1010.02339460168,958.971627745123,936.892159526188,856.139158430951,0.00325920478002365,0.353001483667525,5.14256315523648e-05,1.27721507268265,2.48688835139731
"TNFAIP8L1",574.679454940263,647.016962359219,707.135390954959,558.469445098978,537.718272647435,621.173402707702,571.476742467587,470.876537137023,0.64571818142702,-0.175935425910347,0.166315023061551,0.885193384371759,0.189956985032503
"ARSJ",14.8990969799327,12.7911096347786,97.5994159390959,45.4118752935155,16.6304620406423,23.4582100720431,118.141826567818,84.5947025592487,0.884977412508318,0.506864071744711,0.519346224683975,1.42095815663089,0.0530678137633986
"ZC3HAV1L",40.4404060883888,23.4503676637608,37.7507174858767,19.3242022525598,46.5652937137985,29.0881804893335,19.2323903715053,21.4034789607738,0.98004756853191,-0.0629439093535335,0.884580904365538,0.957308676746143,0.00875284446101935
"ELP3",1755.96500120636,1644.72351387195,1384.8068072868,1583.61837459728,1651.95922937047,1685.23781157558,1523.93797991357,1433.013877088,0.976261201654878,-0.0166603143172196,0.86578156489233,0.98851837290152,0.0104339699761113
